topic_id,post_number,post_id,date,topic_title,category,reply_to_user,word_count,post_url,fetched_at
164465,23,2994216,2020-10-04,is Nuits les SAINT GEORGES worthy of grand cru status?,WINE TALK,,52,https://www.wineberserkers.com/t/is-nuits-les-saint-georges-worthy-of-grand-cru-status/164465/23,2026-05-07T05:31:47+00:00
164465,27,2994393,2020-10-04,is Nuits les SAINT GEORGES worthy of grand cru status?,WINE TALK,,8,https://www.wineberserkers.com/t/is-nuits-les-saint-georges-worthy-of-grand-cru-status/164465/27,2026-05-07T05:31:47+00:00
164475,21,2994217,2020-10-04,Chassagne Montrachet Rouge,WINE TALK,,17,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/21,2026-05-07T05:31:31+00:00
164475,26,2994398,2020-10-04,Chassagne Montrachet Rouge,WINE TALK,,86,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/26,2026-05-07T05:31:31+00:00
164477,5,2994451,2020-10-04,2018 Sauzet,WINE TALK,,6,https://www.wineberserkers.com/t/2018-sauzet/164477/5,2026-05-07T05:31:47+00:00
164602,14,2999411,2020-10-10,"Love Richebourg, but what do I do?",WINE TALK,,36,https://www.wineberserkers.com/t/love-richebourg-but-what-do-i-do/164602/14,2026-05-07T05:31:47+00:00
164602,17,2999431,2020-10-10,"Love Richebourg, but what do I do?",WINE TALK,,35,https://www.wineberserkers.com/t/love-richebourg-but-what-do-i-do/164602/17,2026-05-07T05:31:47+00:00
164661,6,2999197,2020-10-10,TN:2017 Mongeard Mugneret Echezeaux,WINE TALK,,11,https://www.wineberserkers.com/t/tn-2017-mongeard-mugneret-echezeaux/164661/6,2026-05-07T05:31:47+00:00
164661,10,2999430,2020-10-10,TN:2017 Mongeard Mugneret Echezeaux,WINE TALK,,83,https://www.wineberserkers.com/t/tn-2017-mongeard-mugneret-echezeaux/164661/10,2026-05-07T05:31:47+00:00
164664,4,2999194,2020-10-10,TN: Cedric Bouchard Val Vilaine,WINE TALK,,69,https://www.wineberserkers.com/t/tn-cedric-bouchard-val-vilaine/164664/4,2026-05-07T05:31:46+00:00
164664,6,2999215,2020-10-10,TN: Cedric Bouchard Val Vilaine,WINE TALK,,47,https://www.wineberserkers.com/t/tn-cedric-bouchard-val-vilaine/164664/6,2026-05-07T05:31:46+00:00
