producer	wine	price	country	region	appellation	color	variety
Sven Enderle	2022 Pinot Noir "Kalk"	61.99				Red	Pinot Noir
Sven Enderle	2022 Pinot Noir "Vom Keuper"	51.99				Red	Pinot Noir
Sven Klundt	2022 Kastanienbusch Pinot Noir	36.99				Red	Pinot Noir
Sven Klundt	2023 Kastanienbusch Riesling "GG"	35.99				White	Riesling
Thörle Saulheimer	2023 Kalkstein Spätburgunder	38.99				Red	Pinot Noir
Thorle Schlossberg	2022 Riesling "GG"	47.99				White	Riesling
Ziereisen	2022 Gestad Syrah	35.99				Red	Syrah
Ziereisen	2022 Grauburgunder "Würmlin - Jaspis"	55.99				White	Pinot Gris
Ziereisen	2022 Jaspis Chardonnay Nagelin	69.99				White	Chardonnay
Ziereisen	2022 Jaspis Syrah Daublin	61.99				Red	Syrah
Ziereisen	2022 Spätburgunder "Rhini"	42.99				Red	Pinot Noir
Ziereisen	2022 Talrain Blauer Spätburgunder	29.99				Red	Pinot Noir
Domaine Berlancourt	2019 Bourgogne Rose	31.99	France	Burgundy		Rosé
Domaine Berlancourt	2021 "Cuvee Madamoiselle" Bourgogne Blanc	54.99	France	Burgundy		White	Chardonnay
Domaine Berlancourt	2021 Bourgogne Blanc "Les Equinces"	41.99	France	Burgundy		White	Chardonnay
Domaine Berlancourt	2022 Bourgogne Rouge	59.99	France	Burgundy		Red	Pinot Noir
Domaine Rebourgeon	2023 Beaune "Epenottes"	51.99	France	Burgundy		Red	Pinot Noir
Francois Buffet	2023 Pommard	53.99	France	Burgundy	Pommard	Red	Pinot Noir
Francois Buffet	2023 Volnay	57.99	France	Burgundy	Volnay	Red	Pinot Noir
Laurent Boussey	2021 Volnay	47.99	France	Burgundy	Volnay	Red	Pinot Noir
Laurent Boussey	2023 Monthelie Les Haut Brins	39.99	France	Burgundy		Red	Pinot Noir
Laurent Boussey	2023 Monthelie Les Toisieres	39.99	France	Burgundy		Red	Pinot Noir
Michel Rebourgeon	2023 Beaune Blanc "En Lalunne"	45.99	France	Burgundy		Red	Pinot Noir
Michel Rebourgeon	2023 Pommard "Les Perrières"	66.99	France	Burgundy	Pommard	Red	Pinot Noir
Michel Rebourgeon	2023 Santenay Vieilles Vignes	41.99	France	Burgundy		Red	Pinot Noir
Pierre Brisset	2023 Bourgogne Blanc "Cuvee Cassaneas"	46.99	France	Burgundy		White	Chardonnay
Pierre Brisset	2023 Bourgogne Rouge Cuvee Gabrius	46.99	France	Burgundy		Red	Pinot Noir
Chavy Chouet	2032 Meursault Narvaux	73.99	France	Burgundy	Meursault	White	Chardonnay
Jean Dauvissat Père & Fils	2023 Chablis "Terroirs de Milly"	37.99	France	Burgundy	Chablis	White	Chardonnay
Pierre Brisset	2022 Saint-Aubin 1er cru "Sur Roche du Gamay"	86.99	France	Burgundy	Saint-Aubin	White	Chardonnay
Pierre Brisset	2023 Meursault "Les Grands Charrons"	101.99	France	Burgundy	Meursault	White	Chardonnay
Sarl Garaudet Pere & Fils	2023 Meursault "Limozin"	84.99	France	Burgundy	Meursault	White	Chardonnay
Francois Buffet	2023 Pommard 1er Cru "Les Poutures"	81.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Pommard 1er Cru "Les Rugiens"	94.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Pommard 1er Cru "Rugiens"	84.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Savigny Les Beaune 1er Cru	55.99	France	Burgundy	Savigny Les Beaune 1er Cru	Red	Pinot Noir
Francois Buffet	2023 Volnay 1er Cru "Taillepieds"	69.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Volnay 1er Cru "Champans"	81.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Volnay 1er Cru "Clos de la Rougeotte" MONOPOLE	81.99	France	Burgundy	1er Cru	Red	Pinot Noir
Francois Buffet	2023 Volnay 1er Cru "Clos des Chenes"	76.99	France	Burgundy	1er Cru	Red	Pinot Noir
François Buffet	2023 Volnay 1er Cru "Le Village"	81.99	France	Burgundy	1er Cru	Red	Pinot Noir
J.J. Girard	2023 Volnay 1er Cru "Mitans"	91.99	France	Burgundy	1er Cru	Red	Pinot Noir
Jj Girard	2023 Beaune 1er Cru "Clos du Roi"	51.99	France	Burgundy	1er Cru	Red	Pinot Noir
Jj Girard	2023 Pommard 1er Cru "Les Chaponnières"	86.99	France	Burgundy	1er Cru	Red	Pinot Noir
