Name,producer_guess,Vintage,Format,Category,Price,price_usd,Region/Notes
Domaine de Beaurenard - Côtes du Rhône-Villages Rasteau,Domaine de Beaurenard,2020,750ml,Red Wine,$23.99,23.99,Rhone Valley (WS: 90)
Chateau de Sales - Pomerol,Chateau de Sales,2014,750ml,Red Wine,$32.99,32.99,Pomerol (Bordeaux Blend)
Pascal Jolivet - Sancerre,Pascal Jolivet,NV,750ml,White Wine,$34.99,34.99,Sancerre (Sauvignon Blanc)
Jean Louis Chave - Crozes Hermitage Silene,Jean Louis Chave,2023,750ml,Red Wine,$31.49,31.49,Rhone Red Blend
Chateau Peyrassol - Cotes de Provence Blanc,Chateau Peyrassol,2019,750ml,White Wine,$33.99,33.99,Cotes de Provence
Chateau Peyrassol Rose,Chateau Peyrassol Rose,2023,750ml,Rose Wine,$33.99,33.99,Cotes de Provence
Roblin Reserve de Maimbray Terres Blanches,Roblin Reserve de Maimbray Terres Blanches,2022,750ml,White Wine,$30.59,30.59,Sancerre (Sauvignon Blanc)
Domaine de la Jobeline - Mâcon Verze,Domaine de la Jobeline,2019,750ml,Red Wine,$32.99,32.99,Burgundy (Gamay)
Chateau des Laurets - Puisseguin Saint Emilion,Chateau des Laurets,2014,750ml,Red Wine,$32.99,32.99,Bordeaux (Merlot)
La Bouche Du Roi - Merlot Cabernet Franc,La Bouche Du Roi,2022,750ml,Red Wine,$29.69,29.69,Red Blend
Domaine Chatelain - Sancerre Selection,Domaine Chatelain,2022,750ml,White Wine,$29.69,29.69,Sancerre (Sauvignon Blanc)
Roger Champault - Sancerre Les Pierris,Roger Champault,2024,750ml,White Wine,$29.69,29.69,Loire (Sauvignon Blanc)
Domaine de Marquiliani - Le Rose Gris de Pauiline,Domaine de Marquiliani,2023,750ml,Rose Wine,$29.69,29.69,Corsica
Peyrassol - Cuvee des Commandeurs' Rouge,Peyrassol,2020,750ml,Red Wine,$29.69,29.69,Provence (Syrah)
Chateau Gloria - St.-Julien,Chateau Gloria,2021,375ml,Red Wine,$29.69,29.69,Saint Julien (Bordeaux Blend)
Barons Edmond & Benjamin de Rothschild - Haut Medoc,Barons Edmond & Benjamin de Rothschild,2022,750ml,Red Wine,$29.69,29.69,Haut Medoc (Kosher)
Les Hauts De Larrivet - Haut Brion Pessac Leognan,Les Hauts De Larrivet,2019,750ml,Red Wine,$31.99,31.99,Bordeaux Blend
Reverdy - Sancerre La Villaudiere,Reverdy,NV,750ml,White Wine,$28.79,28.79,Sancerre (Sauvignon Blanc)
Domaine Laroche - Chablis St.-Martin,Domaine Laroche,NV,750ml,White Wine,$31.99,31.99,Chablis (Chardonnay)
Olivier Leflaive - Les Sétilles Bourgogne White,Olivier Leflaive,2023,750ml,White Wine,$31.99,31.99,Burgundy (Chardonnay)
J.J. Vincent & Fils - Pouilly-Fuissé,J.J. Vincent & Fils,2022,750ml,White Wine,$29.99,29.99,Burgundy (Chardonnay)
Château du Glana - Saint-Julien,Château du Glana,2014,750ml,Red Wine,$26.99,26.99,Saint-Julien (WE: 91)
Clos De L'ours L'accent Rose,Clos De L'ours L'accent Rose,NV,750ml,Rose Wine,$26.99,26.99,Provence
Louis Jadot - Pouilly-Fuissé,Louis Jadot,2023,750ml,White Wine,$29.99,29.99,Burgundy (Chardonnay)
Chateau Gassier - Le Pas Du Moine Rose,Chateau Gassier,2024,750ml,Rose Wine,$26.99,26.99,Cotes de Provence
Domaine Siret-Courtaud - Quincy Sancerre,Domaine Siret-Courtaud,2023,750ml,White Wine,$26.99,26.99,Loire (Sauvignon Blanc)
Domaine Smith Chapel - Bourgogne Aligote,Domaine Smith Chapel,2022,750ml,White Wine,$26.99,26.99,Burgundy (Aligote)
Lingot Martin - Cerdon Sparkling Rose,Lingot Martin,NV,750ml,Sparkling Wine,$26.99,26.99,Gamay
Domaine Ogereau - Rouge Les Tailles,Domaine Ogereau,2019,750ml,Red Wine,$26.99,26.99,Loire (Cabernet Franc)
Clos du Caillou - Cotes du Rhone Reserve,Clos du Caillou,2000,750ml,Red Wine,$26.99,26.99,Rhone Red Blend
Clos Sainte Magdeleine - Provence Rose,Clos Sainte Magdeleine,2023,750ml,Rose Wine,$26.99,26.99,Provence
Jean Colin Sancerre,Jean Colin Sancerre,2022,750ml,White Wine,$26.99,26.99,Sancerre
Domaine de l'Abbaye - Clos Beylesse Provence Rosé,Domaine de l'Abbaye,NV,750ml,Rose Wine,$26.99,26.99,Cotes de Provence
Chateau Pradeaux - Bandol Rose,Chateau Pradeaux,2022,750ml,Rose Wine,$26.99,26.99,Provence
Chateau Pierre Bise - Coteaux du Layon-Beaulieu,Chateau Pierre Bise,2000,500ml,White Wine,$29.99,29.99,Loire Valley
Château Labégorce - Margaux,Château Labégorce,2021,750ml,Red Wine,$23.99,23.99,"Margaux (JD: 92, D: 91)"
Chateau Monbousquet,Chateau Monbousquet,2014,375ml,Red Wine,$26.99,26.99,Saint Emilion (Bordeaux Blend)
Meurgey-croses - St Veran,Meurgey-croses,2019,750ml,White Wine,$26.99,26.99,Burgundy (Chardonnay)
Marc Deschamps - Pouilly-Fumé,Marc Deschamps,NV,750ml,White Wine,$26.99,26.99,Sauvignon Blanc
Hugel - Riesling Estate,Hugel,2018,750ml,White Wine,$26.99,26.99,Alsace (Riesling)
Château Mont-Redon - Lirac,Château Mont-Redon,2020,750ml,Red Wine,$26.99,26.99,Rhone Valley (Rhone Red Blend)
Domaine Cabirau - Serge & Nicholas,Domaine Cabirau,2013,750ml,Red Wine,$26.98,26.98,"Garnacha, Syrah, Carignan"
Whispering Angel Kosher Rose,Whispering Angel Kosher Rose,NV,750ml,Rose Wine,$26.09,26.09,Provence (Kosher)
Chateau Labat - Haut Medoc Grand Vin,Chateau Labat,2016,750ml,Red Wine,$28.99,28.99,Haut Medoc
Chateau D'Estoublon - Roseblood Rose,Chateau D'Estoublon,2024,750ml,Rose Wine,$26.09,26.09,Provence (Rhone Red Blend)
Rumor - Rose Cotes de Provence,Rumor,NV,750ml,Rose Wine,$28.99,28.99,Provence
Alain Jaume - Chateau Mazane Vacqueyras,Alain Jaume,2013,750ml,Red Wine,$25.19,25.19,Rhone (Grenache)
Joseph Drouhin - St.-Véran,Joseph Drouhin,2022,750ml,White Wine,$25.19,25.19,Burgundy (Chardonnay)
Louis Jadot - Chablis,Louis Jadot,2023,750ml,White Wine,$25.19,25.19,Burgundy (Chardonnay)
Trimbach - Pinot Gris Alsace Réserve,Trimbach,NV,750ml,White Wine,$25.19,25.19,Alsace (Pinot Gris)
Chateau Saint Julien - Rose,Chateau Saint Julien,2021,750ml,Rose Wine,$24.29,24.29,Provence
JL Chave Selection - Mon Coeur,JL Chave Selection,NV,750ml,Red Wine,$23.39,23.39,Rhone Red Blend
Chateau De Parsac - Saint Emilion,Chateau De Parsac,2021,750ml,Red Wine,$23.39,23.39,Bordeaux (Kosher)
Pascal Jolivet - Sancerre Les Caillottes,Pascal Jolivet,NV,375ml,White Wine,$23.39,23.39,Sancerre (Sauvignon Blanc)
Summer in a Bottle Rose Winter Edition,Summer in a Bottle Rose Winter Edition,NV,750ml,Rose Wine,$23.39,23.39,Cotes de Provence
Champalou - Vouvray Pétillant Brut,Champalou,NV,750ml,Sparkling Wine,$23.39,23.39,Loire (Chenin Blanc)
Jean Marc Gilet - Gilet Brut Vouvray,Jean Marc Gilet,NV,750ml,Sparkling Wine,$23.39,23.39,Loire
Pascal Jolivet - Sancerre,Pascal Jolivet,NV,375ml,White Wine,$22.49,22.49,Sancerre (Sauvignon Blanc)
Château Landat - Haut-Médoc,Château Landat,2019,750ml,Red Wine,$22.49,22.49,Haut-Medoc
Protege Par Lamour - Cotes Du Rhone,Protege Par Lamour,2024,750ml,Red Wine,$22.49,22.49,Rhone (Kosher)
Prince Estivac - Blanc De Blancs,Prince Estivac,NV,750ml,Sparkling Wine,$22.49,22.49,Champagne
Alain Jaume - Lirac Domaine du Clos de Sixte,Alain Jaume,2016,750ml,Red Wine,$24.99,24.99,"Rhone (WA: 93+, WE: 93)"
Jean Marc Gilet - Vouvray Sec Les Perruches,Jean Marc Gilet,NV,750ml,White Wine,$22.49,22.49,Loire
Trimbach - Gewürztraminer Alsace,Trimbach,NV,750ml,White Wine,$21.59,21.59,Alsace
Chateau La Condamine - Corbieres,Chateau La Condamine,2019,750ml,Red Wine,$21.59,21.59,Languedoc
Avaline - Provence Rose,Avaline,NV,750ml,Rose Wine,$21.59,21.59,Provence (Organic)
Jean-Jacques Vincent - Bourgogne Blanc,Jean-Jacques Vincent,NV,750ml,White Wine,$21.59,21.59,Burgundy (Chardonnay)
Villa Aurelia - Provence Rose,Villa Aurelia,2021,750ml,Rose Wine,$21.59,21.59,Provence
Serre De Guery - Viognier,Serre De Guery,NV,750ml,White Wine,$21.59,21.59,Pays d'Oc
Hugel & Fils - Riesling Alsace,Hugel & Fils,NV,750ml,White Wine,$20.69,20.69,Alsace
Pascal Jolivet - Pinot Noir Attitude,Pascal Jolivet,2023,750ml,Red Wine,$22.99,22.99,Loire Valley
Château Miraval - Rose Cotes De Provence,Château Miraval,NV,750ml,Rose Wine,$22.99,22.99,Provence
Domaine des Aubuisières - Vouvray Cuvée de Silex,Domaine des Aubuisières,NV,750ml,White Wine,$20.69,20.69,Vouvray
Domaine Laroche - Chablis St.-Martin,Domaine Laroche,2023,375ml,White Wine,$20.69,20.69,Chablis (Chardonnay)
François Cazin - Cour-Cheverny Le Petit Chambord,François Cazin,NV,375ml,Red Wine,$20.69,20.69,Loire
Château Puech-Haut - Argali Rosé,Château Puech-Haut,NV,750ml,Rose Wine,$20.69,20.69,Languedoc
Domaine Soleyrade - Cotes Du Rhone,Domaine Soleyrade,2020,750ml,Red Wine,$19.79,19.79,Rhone Valley
Chateau Minuty - M de Minuty Rose,Chateau Minuty,NV,750ml,Rose Wine,$19.79,19.79,Provence
Peyrassol - Les Commandeurs Rose,Peyrassol,2022,750ml,Rose Wine,$21.99,21.99,Provence (V: 91)
Hecht & Bannier - Minervois,Hecht & Bannier,2015,750ml,Red Wine,$18.89,18.89,Languedoc
The Beach Rose,The Beach Rose,NV,750ml,Rose Wine,$17.99,17.99,Provence
Chateau de Roquefort - Petit Sale,Chateau de Roquefort,NV,750ml,White Wine,$17.99,17.99,Provence (Clairette)
Domaine Saint Aix - AIX Rose,Domaine Saint Aix,NV,750ml,Rose Wine,$19.99,19.99,Provence
Dom LaFage - Miraflors Rose,Dom LaFage,NV,750ml,Rose Wine,$17.99,17.99,Rousillon (Organic)
Chateau du Moulin-à-Vent - Des Thorins,Chateau du Moulin-à-Vent,2017,750ml,Red Wine,$19.99,19.99,Burgundy
Shatter - Grenache,Shatter,NV,750ml,Red Wine,$19.99,19.99,Languedoc (Grenache)
Louis Jadot - Pinot Noir,Louis Jadot,NV,750ml,Red Wine,$17.99,17.99,Burgundy
Pierre Sparr - Crémant d'Alsace Brut Rosé,Pierre Sparr,NV,750ml,Sparkling Wine,$19.99,19.99,Alsace (WE: 93)
Pierre Sparr Gewurztraminer Grande Reserve,Pierre Sparr Gewurztraminer Grande Reserve,NV,750ml,White Wine,$17.99,17.99,Alsace
Pascal Jolivet - Attitude Sauvignon Blanc,Pascal Jolivet,2023,750ml,White Wine,$19.99,19.99,Loire Valley
Domaine Laroche - Bourgogne Blanc,Domaine Laroche,2017,750ml,White Wine,$19.99,19.99,Burgundy
Whispering Angel Rose,Whispering Angel Rose,NV,750ml,Rose Wine,$19.99,19.99,Provence
Domaine Des Banquettes - Vin Doux Naturel Rasteau,Domaine Des Banquettes,NV,500ml,White Wine,$17.99,17.99,Rhone
Domaine De La Prebende - Beaujolais,Domaine De La Prebende,2023,750ml,Red Wine,$17.99,17.99,Burgundy (Gamay)
Foncastel - La Serre Picpoul De Pinet,Foncastel,NV,750ml,White Wine,$17.99,17.99,Languedoc
Hampton Water - Rose,Hampton Water,NV,750ml,Rose Wine,$17.99,17.99,Languedoc
